ID,Title,Authors,Source Title,Publication Year,Volume,Issue,Supplement ,Beginning Page,Ending Page,DOI,Total Citations,Conference Title,Conference Date ,Exclude (y/n),Plant genotype origin,Continent,latitude,longitude,Site 1,Site 2,Site 3,Site 4,Site 5,Site 6,Ecosystem,type of experiment,method primary,method secondary,hypothesis,secondary hypothesis,comments,Replicates ,Fitness measured (y/n),Proxy
112,Inference of allelopathy is complicated by effects of activated carbon on plant growth ,"Lau, Jennifer A; Puliafico, Kenneth P; Kopshever, Joseph A; Steltzer, Heidi; Jarvis, Edward P; Schwarzlander, Mark; Strauss, Sharon Y; Hufbauer, Ruth A",New Phytologist,2008,178,2,,412,423,10.1111/j.1469-8137.2007.02360.x ,76,,,,USA,North America,,,"Center for Population Biology, University of California, Davis","Department of Plant, Soil and Entomological Sciences, University of Idaho","Natural Resource Ecology Laboratory, Colorado State University",,,,"lathe house, greenhouse",manipulative,ex situ,"measurments, harvesing, weighting",interactions, allelopathy,"In three independent experiments, it was shown that adding activated carbon to potting media affected nutrient availability and plant growth. For most species tested, activated carbon increased plant biomass, even in the absence of the potentially allelopathic agent. The observed effects of activated carbon on plant growth can confound its use to test for allelopathy. The detection of allelopathy relies on the difference between plant growth in medium with carbon and that in medium without carbon in the presence of the potentially allelopathic competitor; however, this difference may be biased if activated carbon alters soil nutrient availability and plant growth even in the absence of the focal allelopathic agent",6-36,y,biomass
113,"No evidence for root-mediated allelopathy in Centaurea solstitialis, a species in a commonly allelopathic genus ","Qin, Bo; Lau, Jennifer A; Kopshever, Joseph; Callaway, Ragan M; McGray, Heather; Perry, Laura G; Weir, Tiffany L; Paschke Mark W; Hierro, Jose L; Yoder, John; Vivanco, Jorge M; Strauss, Sharon",Biological Invasions,2007,9,8,,897,907,10.1007/s10530-007-9089-x,11,,,,USA,North America,,,"Center for Rhizosphere Biology, Colorado State University","Center for Population Biology, University of California, Davis","Division of Biological Sciences, The University of Montana, Missoula",,,,greenhouse,manipulative,ex situ,"collection, harvesting, weighting ",allelopathy,,"Experiments in three different laboratories, with each laboratory taking a different approach. The absence of evidence for allelopathy for C. solstitialis cannot be taken as deÞnitive rejection of allelopathic potential for the species. We cannot rule out the potential of litter or leaf leachates to be allelopathic, but our results, from multiple experiments employing a wide range of techniques, indicate that C. solstitialis is a good competitor but that it likely does not rely heavily on allelopathic compounds in root exudates to suppress native Californian species",3-25,y,"biomass, root tip"
114,Larval densities and field hosts of Ceratapion basicorne (Coleoptera: Apionidae) and an illustrated key to the adults of Ceratapion spp. that feed on thistles in the eastern Mediterranean and Black Sea regions,"Balciunas, Joe K; Korotyaev, Boris A",Environmental Entomology,2007,36,6,,1421,1429,10.1603/0046-225X(2007)36[1421:LDAFHO]2.0.CO;2 ,4,,,,"Armenia, Republic of Georgia, Greece, Russia, Turkey","Europe, Eurasia",,,Armenia (2 sites),Greece (13 sites),Russia (3 sites),Spain (2 sites),Turkey (20 sites),Georgia (3 sites),"agricultural, ",observational,in situ,"collection, examination, dissection, identification, survey, rearing",biocontrol ,,C. basicorne is the most prevalent organism damaging the root crowns and lower stems of yellow starthistle in the Mediterranean region,,y,"plant height, diameter of the root crown "
115,Abiotic constraints eclipse biotic resistance in determining invasibility along experimental vernal pool gradients ,"Fritz, Gerhardt; Collinge, Sharon K",Ecological Applications,2007,17,3,,922,933,10.1890/05-1146,28,,,,USA,North America,,,"University of Colorado in Boulder, Colorado,",,,,,,greenhouse,manipulative,ex situ,"collection, measurments, harvesting",community invasibility ,interactions,"Inundation reduced growth, reproduction, and survival of the Þve exotic species more than did plant neighborhood. Inundation reduced survival of three species and growth and reproduction of all Þve species. Neighboring plants reduced growth and reproduction of three species but generally did not affect survival. Brassica rapa, Centaurea solstitialis, and Vicia villosa all suffered high mortality due to inundation but were generally unaffected by neighboring plants. In contrast, Hordeum marinum and Lolium multißorum, whose survival was unaffected by inundation, were more impacted by neighboring plants. Collectively, these results suggest that abiotic constraints play the dominant role in determining invasibility along vernal pool and similar gradients",yes - numer not specified,y,"numbers of leaves, heights, and numbers of inßorescences, biomass"
116,"Assessing the economic impact of invasive species: The case of yellow starthistle (Centaurea solsitialis L.) in the rangelands of Idaho, USA","Julia, Roxana; Holland, David W; Guenthner, Joseph",Journal of Environmental Management,2007,85,4,,876,882,10.1016/j.jenvman.2006.10.024,11,,,economic model ,USA,North America,,,,,,,,,laboratory,manipulative,ex situ,"data collection, modelling",bioeconomy,infestation costs,"Direct economic costs of the infestations were estimated to be of 8.2 million dollars per year, and secondary costs of 4.5 million dollars per year, for a total of 12.7 milion dollars, agricultural related economic impacts accounted for 79% of this total cost, and non agricultural for 21%. ",,n,
117,Estimating yellow starthistle (Centaurea solstitialis) leaf area index and aboveground biomass with the use of hyperspectral data,"Ge, Shaokui; Xu, Ming; Anderson, Gerald L; Caarruthers, Raymond",Weed Science,2007,55,6,,671,678,10.1614/WS-06-212.1 ,4,,,,USA,North America,39¡00«00««N,122¡22«56««W,Bear Creek,,,,,,grassland/laboratory,observational,in situ/ex situ,"spectral measurments, plant canopy analyzer, harvesting, weighting, image processing",hyperspectral imagery,,"Through the validation process using field-measured data, it was found that CASI-II data could be used to estimate LAI and aboveground biomass of YST remotely",,y,"leaf-area index , aboveground biomass"
118,Implementation of a novel framework for assessing species plasticity in biological invasions: responses of Centaurea and Crepis to phosphorus and water availability ,"Muth, Norris Z; Pigliucci, Massimo",Journal of Ecology,2007,95,5,,1001,1013,10.1111/j.1365-2745.2007.01268.x ,37,,,,USA,North America,,,University of Tennessee White Avenue ,,,,,,greenhouse,manipulative,ex situ,"collection, harvesting, measurments",phenotypic plasticity,invasion success,"Even among closely related species, relationships between invasiveness and phenotypic plasticity do not necessarily reveal consistent patterns, nor do they conform to simple theoretical expectations. We suspect that phenotypic plasticity may indeed play an important role in many species invasions, but the breadth of relevant factors (which genotypes, which populations, which traits, which environments) reduces the likelihood of detecting robust general patterns.",,y,"days to third true leaf, days to bolting, days to initial ßowering (anthesis),  days to initial dehiscence, number of rosette leaves at bolting, diameter of rosette at bolting, number of basal stems, stem diameter,  stem length, branch order (number of branch nodes encountered in tracing the longest stem backwards to the rosette), above-ground biomass, below ground biomass (dry weight),  involucre diameter (seed head diameter), number of inßorescences, per cent survival to ßowering."
119,Detection of yellow starthistle through band selection and feature extraction from hyperspectral imagery ,"Miao, Xin; Gong, Peng; Swope, Sarah; Pu, Ruiliang; Carruthers, Raymond; Anderson, Gerald L",Photogrammetric engineering and remote sensing ,2007,73,9,,1005,1015,,13,,,,USA,North America,39¡00«N,122¡21«W,western edge of CaliforniaÕs Central Valley ,,,,,,grasslands,observational,in situ,"hyperspectral imagery acquisition, feature extraction",hyperspectral imagery,,,,n, 
120,Enhanced growth and seed properties in introduced vs. native populations of yellow starthistle (Centaurea solstitialis),"Widmer, Timothy L; Guermache, Fatiha; Dolgovskaia, Margarita Yu; Reznik, Sergey Ya",Weed Science ,2007,55,5,,465,473,10.1614/WS-06-211R.1 ,17,,,,"France, Greece, Turkey, Italy, Sardinia, Sicily, Russia, USA","Europe, Eurasia, North America",,,greenhouse experiements?,"Montferrier sur Lez, France","near Krasnodar, Russia",,,,growth chamber/greenhouse/field plots,manipulative,ex situ,"measurments, starch determination, chromosome counts",resource allocation,,"In growth chamber studies, seedlings originating from the invasive range were larger than seedlings from the native range after 2 weeks. The starch content of seeds from introduced populations was higher than that of seeds from native populations. There was no difference in chromosome number except in accessions originating from Sicily and Sardinia. Field studies conducted in France and Russia revealed that rosettes and mature plants grown under natural conditions were larger when grown from seeds originating from the invasive range than from seeds originating from the native range. ",1,y,"seedling biomass, seed weight, starch content, rosette diameter, plant height, number of capitula, stem diameter"
121,Developing an optimal release strategy for the rust fungus Puccinia jaceae var. solstitialis for biological control of Centaurea solstitialis (yellow starthistle),"Fisher, Alison J; Woods, Dale M; Smith, Lincoln; Bruckart, William L, III",Biological Control,2007,42,2,,161,171,10.1016/j.biocontrol.2007.04.013 ,14,,,,USA,North America,,,"California Department of Food and Agriculture, Sacramento",Napa - coastal hills ,"Woodland, central Valley",,,,grasslands/greenhouse,manipulative,ex situ/in situ,"counting, visual evaluations, harvesting, weighting",biocontrol ,,"At the Central Valley site near Woodland CA, disease incidence was higher than at the coastal hills, tent enclosures had no effect on infection, and the pathogen persisted throughout the growing season.  The rust fungus did not have a negative effect on plant mortality, biomass, or flower production at either location. The infection can be achieved from January to June, and tent enclosures sometimes appeared to increase infection, however reinfection is probably limited by local environmental conditions. ",,y,"leaf pustules, number of flower head, above ground biomass, the ratio of immature to mature flower heads per plant, mean flower head width"
122,Yellow starthistle leaf loss due to early season infection by the Puccinia jaceae var solstitialis,"Woods, DM; Popescu, V",Phytopathology,2007,97,7,S,S124,S124,,3,,,,USA,North America,,,field plot (unknown location),,,,,,greenhouse/field ,manipulative,in situ/ex situ,"visual estimation, counting",biocontrol ,,"Leaf loss was correlated with the severity of leaf infection. The greatest effect occurred five weeks post inoculation, when the severely diseased plants lost five times as many leaves as the non inoculated plants.",,y,leaf 
123,"Laboratory and realized host ranges of Chaetorellia succinea (Diptera: Tephritidae), an unintentionally introduced natural enemy of yellow starthistle","Balciunas, Joe K;  Villegas, Baldo",Environmental Entomology,2007,36,4,,849,857,10.1093/ee/36.4.849 ,3,,,,USA,North America,,,USDA-ARS quarantine laboratory in Albany,California,Southern Oregon ,,,,laboratory/field,manipulative/observational,ex situ/in situ,"counting, dissection, collection, identification",host range,biocontrol,American basketflower growing in the southwestern United States may be at risk if Chaetorellia succinea expands its range into that region.,3-for the lab choice and no-choice tests ,y,flower heads number 
124,Costs and losses imposed on California ranchers by yellow starthistle,"Eagle, Alison J; Eiswerth, Mark E; Johnson, Wayne S; Schoenig, Steve E; van Kooten, Cornelis G",Rangeland Ecology and Mangaement,2007,60,4,,369,377,10.2111/1551-5028(2007)60[369:CALIOC]2.0.CO;2,17,,,socio economic study,USA,North America,,,Calaveras,Mariposa,Tehama,,,,laboratory,observational,ex situ,"survey, e-mail",economic consequences of invasive weeds,weed management ,"A survey was administered to California cattle ranchers to investigate YST infestation rates, loss of forage quantity and value, and control or eradication efforts. The results were used to estimate countywide losses and costs for 3 focus counties, as well as statewide losses/costs, due to YST in California. Total losses of livestock forage value due to YST on private land for the state of California are estimated at $7.65 million per year, with ranchersÕ out-of-pocket expenditures on YST control amounting to $9.45 million per year. Together, these amount to the equivalent of 6%Ð7% of the total annual harvested pasture value for the state. ",,n,
125,Evaluation of the anti-ulcerogenic effect of sesquiterpene lactones from Centaurea solstitialis L. ssp solstitialis by using various in vivo and biochemical techniques ,"Gurbuz, Ilhan; Yesilada, Erdem",Journal of Ethnopharmacology,2007,112,2,,284,291,10.1016/j.jep.2007.03.009,22,,,pharmacology,Turkey ,Eurasia,,,"Gazi University, Ankara","Yeditepe University, Istanbul",,,,,laboratory,manipulative,ex situ,"kill the animals by ether overdose; anesteshia, remove stomach, dissection, measure ulcer lesions ",anti-ulcerogenic activity ,sesquiterpene lactones,"The guaianolide type sesquiterpene lactones chlorojanerin, 13-acetyl solstitialin A and solstitialin A were identified as the anti-ulcerogenic components of the chloroform extract of the aerial parts of Centaurea solstitialis ssp. Solstitialis (Asteraceae). Chlorojanerin was shown to be significantly effective in preventing the induction of lesions by ethanol, indomethacin, indomethacin plus, nitro-L-arginine methyl ester plus, N-ethylmaleimide plus EtOH, water immersion and restraint stress, serotonin as well as inhibiting titratable gastric acidity and acid output and increasing astric pH, but was ineffective in the prevention of ulcers induced by pyloric ligation, diethyldithiocarbamate and cysteamine and had no effect on gastric secretion volume or peptic activity. ",,n,
126,Chromosome numbers of the twenty two Turkish plant species,"Inceer, Huseyin; Hayirlioglu-Ayaz, Sema; Ozcan, Melahat",Caryologia,2007,60,4,,349,357,10.1080/00087114.2007.10797958,1,,,,Turkey,Eurasia,,,"Karadeniz Technical University, Trabzon","seeds collected from Kastamonu, Tosya, Kuyumcupinar",,,,,laboratory,manipulative,ex situ,"fresh root tips collection in the field, staining, slide preparation and fixation, chromosome counts, chromosome drawings, chromosome photographs (Olympus Camera)",chromosome number,,"2n = 32, tetraploids!",,n,
127,"Physiological host range of Ceratapion basicorne, a prospective biological control agent of Centaurea solstitialis (Asteraceae) ","Smith, Lincoln",Biological Control,2007,41,1,,120,133,10.1016/j.biocontrol.2006.12.015,18,,,,USA,North America,,,"USDA-ARS Western Regional Rsearch Center, Albany",,,,,,laboratory,manipulative,ex situ,"collection, counting, examination under microscope, dissection",host range,biocontrol,"The highest rates of larval development for Ceratapion basicorne occurred primarily on Centaurea solstitialis and Centaurea cyanus and there was significant development on Centaurea melitensis, Cnicus benedictus, Carthamus tinctorius and Crupina Vulgaris. All the plants that supported some larval development are within a monophyletic clade within the Centaureinae. No native North American plants appear to be at risk of significant damage by this insect. ",4-16,n,
128,First report of leaf spot caused by Cladosporium herbarum on Centaurea solstitialis in Greece,"Berner, DK; Smallwood, EL; Mcmahon, MB; Luster, DG; Kashefi, J",Plant Disease,2007,91,4,,463,463,10.1094/PDIS-91-4-0463A ,2,,,full text requested,"Greece, USA","Europe, North America",,,,,,,,,,,,,,,,,,
129,"Realistic variation in species composition affects grassland production, resource use and invasion resistance ","Zavaleta, ES; Hulvey, KB",Plant Ecology,2007,188,1,,39,51,10.1007/s11258-006-9146-z,30,,,,USA,North America,,,"Jasper Ridge Biological Preserve near Palo Alto, California",,,,,,mediterranean/outdoor microcosms ,manipulative,ex situ,"installed probes and time-domain reßectometry (soil moisture), ion exchange resin bags (ammonium and nitrate level),  Sunßeck ceptometer (% photosynthetically active radiation), harvesting",community invasibility ,interactions,"Progressive species removals from microcosm communities, designed to mimic nested variation in diversity observed in the Þeld, reduced grassland production, resistance to intentional invasions, and resistance to natural colonization by new species.","5, 10",y,"aboveground biomass, flower number "
130,First Report of Puccinia jaceae var. solstitialis pycnia on yellow starthistle in the United States,"Fisher, AJ; Bruckart, WL; Mcmahon MB; Luster, DG",Plant Disease,2006,90,10,,1362,1362,10.1094/PD-90-1362A ,6,,,,USA,North America,38¡42«767««N,121¡53«732««W,"Woodland, California",,,,,,field,manipulative/observational,in situ/ex situ,"collection, visual inspection, DNA isolation, ITS2 amplification",biocontrol,,"First report of pycnia from Puccinia jaceae var. solstitialis in the US, suggesting that the yst rust is fully functional and completes its life cycle in California. ",,y,pycnia on abaxial leaf surface and petioles 
131,"Fecundity, development, and behavior of Ceratapion basicorne (Coleoptera : Apionidae), a prospective biological control agent of yellow starthistle ","Smith, Lincoln; Drew, A.E",Environmental Entomology,2006,35,5,,1366,1371,10.1603/0046-225X(2006)35[1366:FDABOC]2.0.CO;2 ,8,,,email author to ask,USA or Turkey or both?,North America,,,"USDA-ARS quarantine laboratory, Albany",,,,,,greenhouse/laboratory,manipulative,ex situ,"collection, measurments, observations, counting, dissections",establish laboratory colony of insects,biocontrol,"A laboratory colony of Ceratapion basicorne (Illiger) was established from adults reared from infested plants of yellow starthistle, Centaurea solstitialis L. (Asteraceae), that were collected in eastern Turkey.",,y,insect fitness (eggs)
132,Impact of Synchytrium solstitiale on yellow starthistle seedlings and mature plants ,"Widmer, Timothy L",Phytopathology,2006,96,6,S,S122,S123,,1,,,,"France, USA","Europe, North America",,,USDA-ARS-FDWSRU,naturally infected field site in France ,,,,,greenhouse/field,manipulative,ex situ/in situ,"collection, measurments, observations",biocontrol agent ,,Evaluation of Synchytrium solstitiale (false rust) as biocontrol agent for C. solstitialis,,y,"biomass, number of flowers, stem diameter"
133,Puccinia jaceae var. solstitialis emergence and survival on yellow starthistle in California ,"Fisher, AJ",Phytopathology,2006,96,6,S,S36,S36,,0,,,,USA,North America,,,California,,,,,,field/greenhouse,manipulative/observational,in situ/ex situ,"collection, monitoring, teliospore germination tests ",biocontrol,,Puccinia jaceae var solstitialis is likely to persist in California because teliospores can initiate new infections in yellow starthistle seedlings ,,y,infected leaves 
134,Defoliation of Centaurea solstitialis stimulates compensatory growth and intensifies negative effects on neighbors ,"Callaway, Ragan M; Kim Judy; Mahall, Bruce E",Biological Invasions,2006,8,6,,1389,1397,10.1007/s10530-006-0003-8,18,,,,USA,North America,,,"University of California, Santa Barbara",,,,,,greenhouse,manipulative,ex situ,"collection, examination, harvesting",compensatory responses,competition,"C. solstitialis compensated fully for severe defoliation, but did not overcompensate in any treatment combination. More importantly, and contrary to general theoretical expectations for the e_ects of defoliation on a plantÕs competitive ability the biomasses of both Avena and Nassella were signiÞcantly lower when grown with defoliated C. solstitialis than with non-defoliated C. solstitialis.",17-20,y,biomass
135,Hyperspectral characteristics of canopy components and structure for phenological assessment of an invasive weed ,"Shaokui, Ge; Everitt, James; Carruthers, Raymons, Gong, Peng; Anderson, Gerald",Environmental Monitoring and Assessment,2006,120,,,109,126,10.1007/s10661-005-9052-1 ,22,,,,USA,North America,39¡00«29««N,122¡22«06««W,"Bear Creek, California",,,,,,field/laboratory,observational,in situ/ex situ,"collection, measure canopy reflectance (hyperspectrometer), airborne remotely sensed data",hyperspectral remote sensing,phenology,"Four components of the canopy (stems, ßower buds, open ßowers and post ßowers) had unique and characteristic spectral signatures. Stems had a typical reßectance pattern of green vegetation. SigniÞcant spectral differences existed among buds, open ßowers, and postßowers, and these differences were located in the blue and red absorption regions and NIR region, respectively.",3,n,
136,Disturbance facilitates invasion: The effects are stronger abroad than at home ,"Hierro, Jose L; Villarreal, Diego; Eren, Ozkan; Graham, JM; Callaway, Ragan M",American Naturalist,2006,168,2,,144,156,10.1086/505767,84,,,,"Argentina, USA, Turkey, Georgia","North America, South America, Eurasia",,,Northern California,Southern Turkey,central Argentina,University of Montana campus,,,common garden/grasslands/native perennial bunchgrasses,manipulative,in situ/ex situ,"census, collection, measurments",distrurbance,invasion success,"Disturbance increased C.solstitialis abundance and performance far more in nonnative ranges than in the native range, but C. solstitialis biomass and fecundity were similar among populations from all regions grown under common conditions. Eurasian soil microbes suppressed growth of C. solstitialis plants, while Californian and Argentinean soil biota did not.",,y,"inflorescence, plant height, biomass"
137,Composition of the essential oils of Xanthium strumarium L. and Cetaurea solstitialis L. from Iran ,"Esmaeili, Akbar; Rustaiayan, Abdolhossein; Akbari, Mohammad T; Moazami, Nasrin; Masoudi, Shiva; Amiri, Hamzeh",Journal of Essential Oil Research,2006,18,4,,427,429,10.1080/10412905.2006.9699131,13,,,,Iran,South Asia/Middle East,,,"The Islamic Azad University, Teheran",,,,,,laboratory,manipulative,ex situ,"collection, hydrodistillation, identification of constituients by GC-MS",essential oil,,"The oil of C. solstitialis (aerial plants) consisted of eight monoterpenes (16.5%), nine sesquiterpenes (39.3%) and one aliphatic acid (30.8%). Hexadecanoic acid (palmitic acid) (30.8%) and caryophyllene oxide (25.2%) were the major compounds in this oil, followed by 1,8-cineole (9.6%) and caryophyllene.",,n,
138,Integrating prescribed burning and clopyralid for the management of yellow starthistle (Centaurea solstitialis) ,"Ditomaso, Joseph M; Kyser, Guy B; Miller, Jessica R; Garcia, Sergio; Smith, Richard F; Nader, Glenn; Connor, Michael S; Orloff, Steve B",Weed Science,2006,54,4,,757,767,10.1614/WS-06-023R1.1,19,,,,USA,North America,,,"San Benito, California","Yuba, California","Siskiyou, California","Fort Hunter Liggett, Monterey, California",,,"coastal, Sierra Nevada foothills, intermountain, highly disturbed grassland, disturbed wildland grassland surrounded by oaks",manipulative,in situ,"counting, visual estimations, transects, harvesting, drying, weighting, nitrogen gas analyzer (crude protein and total nitrogen content), identification, dissection",weed management,,"A first year prescribed burn followed by a second year clopyralid treatment can provide consistently good control of yellow starthistle, as well as reduced levels of noxious annual grasses including medusahead and ripgut brome. ",3,y,"seed bank, viable seeds, biomass"
139,Estimation of yellow starthistle abundance through CASI-2 hyperspectral imagery using linear spectral mixture models,"Miao, Xin; Gong, Peng; Swope, Sarah; Pu, Ruiliang; Carruthers, Raymond; Anderson, Gerald L; Heaton, Jill S; Tracy, CR",Remote Sensing of Environment,2006,101,,,329,341,10.1016/j.rse.2006.01.006,59,,,,USA,North America,,,western edge of CaliforniaÕs Central Valley ,,,,,,grasslands,observational,in situ,"acquisition of visible and near infrared hyperspectral imagery, data extraction, Monte Carlo simulations",hyperspectral imagery,canopy cover,The results suggest that unmixing CASI-2 imagery could be used for estimating and mapping yellow starthistle for larger regional areas. ,,n,
140,Variation in resource availability changes the impact of invasive thistles on native bunchgrasses ,"Morghan, Kimberley JR; Rice, Kevin J",Ecological Applications,2006,16,2,,528,539,10.1890/1051-0761(2006)016[0528:VIRACT]2.0.CO;2,10,,,,USA,North America,,,campus of the University of California at Davis,,,,,,annual grasses and forbs/greenhouse,manipulative,in situ/ex situ,"transplanting, collection, measurments, counting, Scholander type pressure chamber (predawn xylem water potentials) ",interactions,competition,"Nassella pulchra extracted much less soil water from the plots than C. solstitialis. N. pulchra was generally much more water stressed when growing with C. solstitialis than when growing alone. These patterns indicate that the solitary N. pulchra plants in our study did not signiÞcantly reduce soil water availability to C. solstitialis, in turn suggesting that any suppression the perennial grass imposed on C. solstitialis was not through direct competition for soil moisture. ",,y,"biomass, seed, water potential"
141,"Factors affecting infection of yellow starthistle (Centaurea solstitialis) by Synchytrium solstitiale, causal agent of false rust disease ","Widmer, TL; Guermache, F",Plant Disease,2006,90,4,,425,428,10.1094/PD-90-0425,3,,,full text requested,"France, USA","Europe, North America",,,field side in southern France,"European Biological control Laboratory, Montferrier sur Lez, France",,,,,laboratory/field,manipulative,in situ/ex situ,"collection, inoculation, visual observation",biocontrol,,,,y,fungus orange galls on plant leaf 
142,Cryopreservation of Synchytrium solstitiale in planta ,"Widmer, TL",Plant Diseae,2006,90,4,,429,432,10.1094/PD-90-0429Ê,2,,,,France,Europe,,,"European Biological Control Laboratory, Montferrier sur Lez",,,,,,laboratoy ,manipulative ,ex situ ,"collection, inoculation, visual observation",biocontrol,,"The best results were obtained when infected tissue was stored at Ð2¼C in 0.5 M sucrose where active zoospores were released after 12 weeks of storage. Overall, results obtained from this study demonstrate a technique for longterm storage of S. solstitiale",3,y ,fungus sori on leaf 
143,"Assessment of risk of attack to safflower by Ceratapion basicorne (Coleoptera : Apionidae), a prospective biological control agent of Centaurea solstitialis (Asteraceae) ","Smith, Lincoln; Hayat, R; Cristofaro, M; Tronci, C; Tozlu, G; Lecce, F",Biological Control,2006,36,3,,337,344,10.1016/j.biocontrol.2005.11.001,15,,,,"Turkey, USA","Eurasia, North America",,,"Askale (39¡58«712««N, 40¡33«783««E)","Horasan (40¡07«543««N, 42¡29«941««E)","Cat (39¡34«929««N, 40¡54«210««E)","Ataturk University, Plant Protection Department, Erzurum ",,,growth chamber/greenhouse/field,manipulative,ex situ/in situ,"monitoring, plant transfer to the field, harvesting, dissection, identification",host range,biocontrol,The study indicate that C. basicorne does not attach safflower under field conditions and that its introduction would not pose a risk to this crop. ,30-250,y,"root crown, lower stem infestation by insect pupa "
144,Two invasive plants alter soil microbial community composition in serpentine grasslands ,"Batten, Katharine M; Scow, Kate M; Davies, Kendi F; Harrison, Susan P",Biological Control,2006,8,2,,217,230,10.1007/s10530-004-3856-8,109,,,,USA,North America,,,McLaughlin Natural Reserve (soil sampling site),Bear Valley (soil sampling site),"American Institute of Biological Sciences, Washington",,,,laboratory/serpentine grasslands,observational,ex situ,"soil collection, phospholipid fatty acid analysis, microbial biomass",rhizosphere soil community composition,,"Despite yearly variation, both starthistle and goatgrass appear to change microbial communities in areas they invade, and invaded and native microbial communities signiÞcantly di_er. Additionally, rhizosphere microbial communities in newly invaded areas are more similar to the original native soil communities than are microbial communities in areas that have been invaded for several years. Compared to native plant rhizospheres, starthistle and goatgrass rhizospheres have higher levels of PLFA biomarkers for sulfate reducing bacteria, and goatgrass rhizospheres have higher fatty acid diversity and higher levels of biomarkers for sulfur-oxidizing bacteria, and arbuscular mycorrhizal fungi.",3,n,
